item,label_ja,label_en,altLabel_ja,altLabel_en,instance of
http://www.wikidata.org/entity/Q19903652,,C-5 sterol desaturase,[],[],['Q67015883']
http://www.wikidata.org/entity/Q19904020,,Ebola viral protein 24,[],[],[]
http://www.wikidata.org/entity/Q19904113,,eukaryotic initiation factor 4G,[],['Eukaryotic Initiation Factor-4G'],['Q8054']
http://www.wikidata.org/entity/Q1993945,硝酸レダクターゼ (NADH),nitrate reductase (NADH),[],"['NADH-dependent nitrate reductase', 'NADH:nitrate reductase', 'nitrate reductase (NADH(2))', 'NADH:nitrate oxidoreductase', 'assimilatory NADH:nitrate reductase', 'nitrite:NAD+ oxidoreductase', 'NADH-nitrate reductase', 'assimilatory NADH: nitrate reductase', 'nitrate reductase (NADH2)']",['Q67015883']
http://www.wikidata.org/entity/Q1998021,ペルツズマブ,pertuzumab,[],"['2C4 Antibody', 'MOAB 2C4', 'Monoclonal Antibody 2C4', 'Omnitarg', 'rhuMAb-2C4', 'RG-1273']",['Q113145171']
http://www.wikidata.org/entity/Q2003014,ノボラック,novolac,[],['novolak'],['Q17339814']
http://www.wikidata.org/entity/Q2004504,,Insulin-like growth factor II IRES,[],[],[]
http://www.wikidata.org/entity/Q20054543,ポリビニルエーテル,polyvinyl ether,['ポリビニル・エーテル'],"['polyvinylether', 'poly(vinyl ether)']",['Q17339814']
http://www.wikidata.org/entity/Q2007821,,parathyroid hormone like hormone,[],"['osteostatin', 'PTH-related protein', 'PLP', 'parathyroid hormone-related protein', 'parathyroid hormone-like related protein', 'parathyroid hormone-like hormone preproprotein', 'PTHLH', 'PTH-rP', 'Parathyroid hormone-like protein']",['Q8054']
http://www.wikidata.org/entity/Q2007876,βグロブリン,beta globulins,[],[],['Q84467700']
http://www.wikidata.org/entity/Q201448,トランスファーRNA,transfer RNA,"['転移リボ核酸', '運搬RNA', 'tRNA', '転移RNA']","['tRNA', 'sRNA', 'soluble RNA', 'transfer ribonucleic acid', 'soluble ribonucleic acid', 'RNA, Transfer']",['Q47154513']
http://www.wikidata.org/entity/Q201552,イヌリン,inulin,[],[],['Q113145171']
http://www.wikidata.org/entity/Q20180653,メラミン樹脂,melamine resin,[],"['melamine formaldehyde', 'melamine–formaldehyde resin', 'melamine', 'melaware']",[]
http://www.wikidata.org/entity/Q2030023,有機アニオントランスポーター,"organic anion transporter, subgroup",[],['IPR004156'],"['Q417841', 'Q67101749']"
http://www.wikidata.org/entity/Q203221,siRNA,small interfering RNA,[],"['siRNA', 'RNA, Small Interfering']",[]
http://www.wikidata.org/entity/Q2033959,代謝型グルタミン酸受容体,"GPCR, family 3, metabotropic glutamate receptor",[],"['GPCR_3_mtglu_rcpt', 'IPR000162', 'Receptors, Metabotropic Glutamate']",['Q417841']
http://www.wikidata.org/entity/Q2034064,アルギン酸カルシウム,calcium alginate,[],[],['Q113145171']
http://www.wikidata.org/entity/Q2036899,オセイン,ossein,[],[],['Q84467700']
http://www.wikidata.org/entity/Q2038057,NADPHオキシダーゼ,NADPH oxidase complex,[],['GO:0043020'],"['Q5058355', 'Q67015883']"
http://www.wikidata.org/entity/Q2042529,TLR9,Toll like receptor 9,"['TLR 9', 'TLR-9']","['uniprot:Q9NR96', 'toll-like receptor 9', 'TLR9']",['Q8054']
http://www.wikidata.org/entity/Q2043632,p38分裂促進因子活性化タンパク質キナーゼ,p38 mitogen-activated protein kinases,[],[],"['Q67015883', 'Q84467700']"
http://www.wikidata.org/entity/Q2045854,,Aquaporin 2,[],"['aquaporin-2', 'ADH water channel', 'AQP-CD', 'collecting duct water channel protein', 'aquaporin 2 (collecting duct)', 'AQP2', 'AQP-2', 'aquaporin-CD', 'WCH-CD', 'water-channel aquaporin 2', 'water channel protein for renal collecting duct']",['Q8054']
